symbol,currency,total_investors,investor_outstanding_ratio,total_sharehold,total_holdings_value
0005.HK,USD,899,52.6140000000002,9040990288.0,168405532210.56
0700.HK,CNY,1093,57.3254000000005,5212300327.0,357715965242.731
