symbol,holding_date,currency,investor_name,investor_category,investor_type,investment_activeness_orientation,turnover_rating,turnover_ratio,total_equity_assets,sharehold,outstanding_ratio,hold_portfolio_ratio,sharehold_value,filing_type,sharehold_change,sharehold_value_change,outstanding_ratio_change,sharehold_change_ratio,prev_sharehold,prev_outstanding_ratio,prev_sharehold_value,prev_holding_date,prev_filing_type
0005.HK,20250219,USD,Quinn (Noel),Strategic Entities,Individual Investor,,LOW,0.0,67463948.93,5736459.0,0.0334,100.0,67463948.93,Regulatory News Service,0.0,0.0,100.0,0.0,5736459.0,0.0334,56540210.26,20241231,Regulatory News Service
0005.HK,20250219,USD,Nish (David Thomas),Strategic Entities,Individual Investor,,LOW,0.0,688964.68,50000.0,0.0003,85.35,588027.81,Regulatory News Service,0.0,0.0,100.0,0.0,50000.0,0.0003,492814.56,20241231,Regulatory News Service
0005.HK,20250331,USD,Cheung (Kee Wee),Strategic Entities,Individual Investor,,,,2284846.56,0.0,0.0,,0.0,UK Registers,-3692031.0,-41743853.06,0.0,-100.0,3692031.0,0.0215,34320182.61,20241115,UK Registers
0005.HK,20251127,USD,Stuart (Ian),Strategic Entities,Individual Investor,,LOW,2.5709,13128744.45,926618.0,0.0054,100.0,13128744.45,Regulatory News Service,11433.0,161987.93,101.89,1.25,915185.0,0.0053,12798628.73,20251027,Regulatory News Service
0700.HK,20251231,CNY,Ma (Huateng),Strategic Entities,Individual Investor,,LOW,0.0,61965600336.81,804859700.0,8.8519,100.0,61965600336.81,Hong Kong Insider,0.0,0.0,,,804859700.0,,43215752018.52,20241231,Hong Kong Insider
