symbol,market,concentration_pct,top20_concentration_pct,holder_hhi,largest_holder_pct,ranked_holder_count,concentration_gap_pct,has_data_anomaly,ownership_structure,evidence_count,data_confidence,issuer_key,listing_type,is_primary_listing
1072.HK,hk,26.0156,21.8021,0.006001628562999999,6.318,20,4.2135,False,fragmented_or_mixed,4,high,hk:1072.HK,unknown,
1073.HK,hk,86.1403,86.1403,0.19735730311700003,29.8596,7,0.0,False,dominant_holder,4,high,hk:1073.HK,unknown,
1079.HK,hk,50.1126,50.1126,0.251127267876,50.1126,3,0.0,False,dominant_holder,4,high,hk:1079.HK,unknown,
1080.HK,hk,38.3883,38.3883,0.050174160837,16.0026,6,0.0,False,fragmented_or_mixed,4,high,hk:1080.HK,unknown,
1081.HK,hk,70.4636,70.4636,0.04972129798599999,13.8285,20,0.0,False,broad_institutional,4,high,hk:1081.HK,unknown,
1082.HK,hk,28.9241,28.9241,0.08366035608099999,28.9241,1,0.0,False,dominant_holder,4,high,hk:1082.HK,unknown,
1083.HK,hk,84.9513,84.5413,0.49856487501500013,70.105,20,0.4099999999999966,False,dominant_holder,4,high,hk:1083.HK,unknown,
1084.HK,hk,71.9873,71.9873,0.09548385066299998,18.4986,9,0.0,False,broad_institutional,4,high,hk:1084.HK,unknown,
1085.HK,hk,26.7962,26.7962,0.05583906602,23.3824,2,0.0,False,dominant_holder,4,high,hk:1085.HK,unknown,
1086.HK,hk,54.5818,54.5583,0.07959429622699998,24.4732,20,0.023499999999998522,False,dominant_holder,4,high,hk:1086.HK,unknown,
1087.HK,hk,41.0084,41.0084,0.071464583894,24.6805,4,0.0,False,dominant_holder,4,high,hk:1087.HK,unknown,
1088.HK,hk,29.4291,24.5978,0.007086035892,6.0253,20,4.831299999999999,False,fragmented_or_mixed,4,high,hk:1088.HK,unknown,
1090.HK,hk,74.8501,74.8501,0.348951844957,57.9379,11,0.0,False,dominant_holder,4,high,hk:1090.HK,unknown,
1091.HK,hk,70.2049,70.2049,0.11312399065299998,20.139,12,0.0,False,dominant_holder,4,high,hk:1091.HK,unknown,
1093.HK,hk,67.4776000000001,57.4887,0.04496659844899999,15.5804,20,9.988900000000093,False,broad_institutional,4,high,hk:1093.HK,unknown,
